Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox 
Medium:Water
Parameters: all 
Project: Ambient
Time Period:2016-05-02 ~ 2022-05-02
Data was downloaded on May 23 2022 11:41 am
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"EL7.1SEC","","Calcium","2017-08-15 11:15:00","13210","","ug/L","","Staff Gage: 1.42' Duplicate Site Duplicate","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2017-09-12 11:10:00","19688","","ug/L","","Staff Gage: 1.82","Yes","Overcast","1","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2017-10-10 11:10:00","10242","","ug/L","","Staff Gage: 1.42'","Yes","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2017-11-07 11:10:00","13930","","ug/L","","Staff Gage: 1.45'","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2017-12-05 11:30:00","30050","","ug/L","","Staff Gage: 1.38'","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-01-08 11:15:00","44519","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-02-05 10:35:00","49471","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-03-05 11:20:00","31695","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-04-02 11:00:00","27835","","ug/L","","Algae present","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-05-07 10:35:00","24625","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-06-05 10:35:00","31170","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-07-09 10:15:00","20936","","ug/L","","Duplicate Site Duplicate","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-07-09 10:15:00","19256","","ug/L","","Duplicate Site Duplicate","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-08-06 10:05:00","9479","","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-09-03 10:35:00","43685","","ug/L","","very stagnant water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-10-01 10:45:00","51289","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-11-05 10:25:00","22420","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2019-12-03 10:45:00","28913","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-01-05 10:10:00","39120","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-02-02 10:35:00","3241","","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-03-02 09:55:00","3072","","ug/L","","Staff gage above water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-04-06 09:55:00","4737","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-05-04 09:45:00","1584","","ug/L","","Staff Gage removed","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-06-01 09:40:00","2003","","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-06-01 09:40:00","1995","","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-07-06 09:45:00","8727","","ug/L","","Staff gage out of water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-08-03 09:35:00","44610","","ug/L","","Staff gage out of water","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-09-07 09:45:00","23900","J7","ug/L","","Staff gage out of water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-10-12 10:30:00","28200","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-11-02 09:35:00","26900","J7","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.1SEC","","Calcium","2021-12-07 10:10:00","39400","J7","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-05-10 08:30:00","21897","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-06-14 08:45:00","22310","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-07-12 08:50:00","20701","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-08-09 08:45:00","17047","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-09-13 08:45:00","24279","","ug/L","","Duplicate Site; Very low flow Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-09-13 08:45:00","24923","","ug/L","","Duplicate Site; Very low flow Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-10-11 08:35:00","14414","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-11-08 09:00:00","24668","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2016-12-06 08:55:00","12445","","ug/L","","Raining","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-01-19 11:00:00","27635","","ug/L","","Staff Gage: 1.34","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-02-14 10:50:00","22290","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-03-14 10:35:00","8744","","ug/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-04-11 10:05:00","24420","","ug/L","","Staff Gage: 1.33'","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-05-16 10:00:00","17865","","ug/L","","Staff Gage: 1.36'","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-06-13 10:00:00","21300","","ug/L","","Duplicate Site; Staff Gage: 1.35' Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-06-13 10:00:00","21450","","ug/L","","Duplicate Site; Staff Gage: 1.35' Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-07-11 10:25:00","15685","","ug/L","","Staff Gage: 1.32' very low flow","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-08-15 10:15:00","8932","","ug/L","","Staff Gage: 1.32'","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-09-12 10:30:00","10804","","ug/L","","Staff Gage: 1.40'","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-10-10 10:35:00","7296","","ug/L","","Staff Gage: 1.35'","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-11-07 10:40:00","16660","","ug/L","","Staff Gage: 1.33', very low flow, lots of leaf littler present","No","Overcast","1","G","Yes","SDWRF","Ambient",
"EL7.9EC","","Calcium","2017-12-05 10:45:00","26170","","ug/L","","Staff Gage: 1.34'","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-01-19 09:25:00","47975","","ug/L",""," ","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-02-14 09:10:00","46840","","ug/L","","Duplicate Site Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-02-14 09:10:00","47220","","ug/L","","Duplicate Site Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-03-14 09:00:00","11918","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-04-11 08:30:00","52170","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-05-16 08:25:00","39460","","ug/L","","Merky water upstream","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-06-13 07:51:00","22310","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-07-11 08:45:00","17120","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-08-15 08:35:00","37630","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-09-12 09:05:00","29200","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-10-10 09:00:00","15178","","ug/L","","very low flow","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-11-07 08:55:00","32060","","ug/L","","Duplicate Site, lots of leaf litter present Duplicate","No","Overcast","1","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-11-07 08:55:00","31180","","ug/L","","Duplicate Site, lots of leaf litter present Duplicate","No","Overcast","1","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2017-12-05 09:05:00","44150","","ug/L","","Organic film present on water surface","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-01-08 09:15:00","32207","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-02-05 08:40:00","26272","","ug/L","","Duplicate Site. In March, discovered that new drinking water line being flushed with "super-chlorinated" water upstream. Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-02-05 08:40:00","27460","","ug/L","","Duplicate Site. In March, discovered that new drinking water line being flushed with "super-chlorinated" water upstream. Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-03-05 08:50:00","29212","","ug/L","","New drinking water line being flushed with "super-chlorinated" water upstream.","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-04-02 08:45:00","27658","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-05-07 08:40:00","24572","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-06-05 08:40:00","23496","","ug/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-07-09 08:30:00","30422","","ug/L","","Low DO, but no sewage smell or other obvious indicators","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-08-06 08:35:00","33391","","ug/L","","Murky water","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-09-03 09:05:00","42146","","ug/L","","Murky water","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-10-01 08:55:00","31246","","ug/L","","Duplicate Site Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-10-01 08:55:00","29619","","ug/L","","Duplicate Site Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-11-05 08:40:00","30017","","ug/L","","Murky/cloudy water","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2019-12-03 08:35:00","59946","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-01-05 08:35:00","50690","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-02-02 08:45:00","4279","","ug/L","","Duplicate Site Duplicate","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-02-02 08:45:00","4216","","ug/L","","Duplicate Site Duplicate","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-03-02 08:25:00","4753","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-04-06 08:15:00","4939","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-05-04 08:15:00","2188","","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-06-01 08:15:00","2097","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-07-06 08:15:00","20580","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-08-03 08:20:00","13950","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-09-07 08:25:00","34100","J7","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-10-12 08:50:00","44000","","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-10-12 08:50:00","43500","","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-11-02 08:15:00","18100","J7","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.1GC","","Calcium","2021-12-07 08:20:00","46000","J7","ug/L","","Heavy leaf litter in stream, high tannins","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-05-11 08:40:00","33535","","ug/L","","Staff Gage:  0.68","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-06-15 08:35:00","31389","","ug/L","","Staff Gage:  0.64; Barely discernable discharge","No","Partly Cloudy","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-07-13 08:35:00","22228","J7","ug/L","","Staff Gage:  0.73","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-08-10 08:30:00","29672","","ug/L","","Staff Gage:  0.56","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-09-14 08:40:00","34060","","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-09-14 08:40:00","34679","","ug/L","","Duplicate Site; Staff Gage:  0.66 Duplicate","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-10-12 08:40:00","14848","","ug/L","","Staff Gage:  0.72","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-11-09 09:05:00","6552","","ug/L","","Staff Gage:  0.90; High stage, merky water","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2016-12-08 09:00:00","19435","","ug/L","","Staff Gage:  0.67","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-01-19 12:00:00","19115","","ug/L",""," ","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-02-14 11:45:00","12230","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-03-14 11:35:00","10624","","ug/L",""," ","Yes","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-04-11 11:05:00","35610","","ug/L","","Staff Gage: 0.66' very low flow, stagnant water","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-05-16 11:10:00","53900","","ug/L","","Staff Gage: 0.66' Very high conductivity","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-06-13 10:55:00","35670","","ug/L","","Staff Gage: 0.68'","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-07-11 11:45:00","26235","","ug/L","","Staff Gage: 0.65'","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-08-15 11:40:00","18476","","ug/L","","Staff Gage: 0.66'","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-09-12 11:18:00","9130","","ug/L","","Staff Gage: 0.78' Duplicate Site Duplicate","Yes","Overcast","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-09-12 11:18:00","9022","","ug/L","","Staff Gage: 0.78' Duplicate Site Duplicate","Yes","Overcast","1","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-10-10 11:25:00","10996","","ug/L","","Staff Gage: 0.67'","Yes","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-11-07 11:30:00","8610","","ug/L","","Staff Gage: 0.72'","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2017-12-05 11:45:00","10768","","ug/L","","Staff Gage: 0.62' Turbid water","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-01-08 11:35:00","37225","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-02-05 10:55:00","42878","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-03-05 11:36:00","27422","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-04-02 11:20:00","37172","","ug/L","","Raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-05-07 10:50:00","28293","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-06-05 10:55:00","32241","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-07-09 10:35:00","24793","","ug/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-08-06 10:40:00","15214","","ug/L","","Duplicate Site Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-08-06 10:40:00","16191","","ug/L","","Duplicate Site Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-09-03 10:50:00","34957","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-10-01 11:05:00","38182","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-11-05 10:45:00","23041","","ug/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2019-12-03 11:00:00","31691","","ug/L","","sampled further downstream due to channel shift","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-01-05 10:30:00","34000","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-02-02 10:55:00","2602","","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-03-02 10:10:00","2952","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-04-06 10:10:00","3163","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-05-04 10:00:00","1653","","ug/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-06-01 10:00:00","2030","","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-07-06 10:05:00","12510","","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-07-06 10:05:00","1275","J2","ug/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-08-03 09:45:00","36370","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-09-07 10:00:00","26500","J7","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-10-12 10:45:00","27100","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-11-02 09:55:00","26300","J7","ug/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.5SEC","","Calcium","2021-12-07 10:30:00","36500","J7","ug/L","","Heavy leaf littler, high tannins","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-01-19 09:00:00","43780","","ug/L","","Duplicate Site Duplicate","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-01-19 09:00:00","43700","","ug/L","","Duplicate Site Duplicate","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-02-14 08:45:00","69850","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-03-14 08:40:00","21730","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-04-11 08:05:00","29670","","ug/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-05-16 08:05:00","42540","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-06-13 07:35:00","7860","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-07-11 08:20:00","46080","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-08-15 08:15:00","25770","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-09-12 08:27:00","14215","","ug/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-10-10 08:30:00","7052","","ug/L","","Duplicate Site Duplicate","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-10-10 08:30:00","5872","","ug/L","","Duplicate Site Duplicate","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-11-07 08:35:00","7506","","ug/L","","very clear water, slight Chlorine smell","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2017-12-05 08:50:00","9910","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-01-08 08:40:00","53688","","ug/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-01-08 08:40:00","56857","","ug/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-02-05 08:10:00","75110","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-03-05 08:26:00","67646","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-04-02 08:20:00","67519","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-05-07 08:15:00","60609","","ug/L","","Slight sewer smell, black flocculent; SSO later confirmed","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-06-05 08:20:00","48412","","ug/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-07-09 08:15:00","42783","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-08-06 08:15:00","17197","","ug/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-09-03 08:15:00","37167","","ug/L","","Duplicate","","","","","","","Ambient",
"EL8.6SECUT","","Calcium","2019-09-03 08:15:00","36338","","ug/L","","Duplicate","","","","","","","Ambient",
"EL8.6SECUT","","Calcium","2019-10-01 08:20:00","20360","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-11-05 08:15:00","57930","","ug/L","","Some suspended debris in sample bottles "floating crud"","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2019-12-03 08:15:00","35735","","ug/L","","Murky water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2020-01-07 08:35:00","12592","","ug/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2020-01-07 08:35:00","59345","","ug/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2020-02-04 08:25:00","63129","","ug/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2020-03-03 08:25:00","74311","","ug/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL8.6SECUT","","Calcium","2020-07-07 08:10:00","60551","","ug/L",""," ","Yes","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
