"","Station","Date","WQI","Copper.CCC","Zinc.CCC","Fecal.Coliform.cfu.100mL.","Dissolved.Oxygen.mg.L.","Nitrate...Nitrite.as.N.mg.L.","Copper.ug.L.","Biochemical.Oxygen.Demand.mg.L.","Turbidity.NTU.","Total.Kjeldahl.Nitrogen.mg.L.","Zinc.ug.L.","Total.Phosphorus.mg.L.","Hardness.mg.L."
"225","EL5.5GC","2004-02-10","","",NA,188,14.01,NA,NA,NA,NA,NA,NA,NA,NA
"226","EL5.5GC","2004-03-16","","",NA,6000,10.13,NA,NA,NA,109,NA,NA,NA,NA
"227","EL5.5GC","2004-04-27","","",NA,6000,8.07,NA,NA,NA,38.4,NA,NA,NA,NA
"228","EL5.5GC","2004-05-25","","",NA,580,7.15,NA,NA,NA,28.5,NA,NA,NA,NA
"229","EL5.5GC","2004-06-15","","",NA,3200,5.17,NA,NA,NA,7.17,NA,NA,NA,NA
"230","EL5.5GC","2004-07-13","","",NA,8000,5.6,NA,NA,NA,41.7,NA,NA,NA,NA
"231","EL5.5GC","2004-08-17","","",NA,2000,7.86,NA,NA,NA,23.4,NA,NA,NA,NA
"232","EL5.5GC","2004-09-14","","",NA,1364,8.18,NA,NA,NA,7.24,NA,NA,NA,NA
"233","EL5.5GC","2004-10-12","","",NA,112,7.65,NA,NA,NA,6.98,NA,NA,NA,NA
"234","EL5.5GC","2004-11-09","","",NA,82,7.37,NA,NA,NA,8.85,NA,NA,NA,NA
"235","EL5.5GC","2004-12-07","","",NA,800,10.65,NA,NA,NA,30.6,NA,NA,NA,NA
"236","EL5.5GC","2005-01-10","","",NA,16,12.8,NA,NA,NA,12.4,NA,NA,NA,NA
"237","EL5.5GC","2005-02-22","","",NA,107,11.59,NA,NA,NA,13.2,NA,NA,NA,NA
"238","EL5.5GC","2005-03-08","","",NA,2300,10.53,NA,NA,NA,230,NA,NA,NA,NA
"239","EL5.5GC","2005-04-12","","",NA,148,9.3,NA,NA,NA,17.5,NA,NA,NA,NA
"240","EL5.5GC","2005-05-17","","",NA,3700,4.61,NA,NA,NA,13.3,NA,NA,NA,NA
"241","EL5.5GC","2005-06-14","","",NA,328,4.97,NA,NA,NA,15.5,NA,NA,NA,NA
"242","EL5.5GC","2005-07-12","","",NA,490,5.23,NA,NA,NA,37.7,NA,NA,NA,NA
"243","EL5.5GC","2005-08-16","","",NA,500,5.83,NA,NA,NA,36.9,NA,NA,NA,NA
"244","EL5.5GC","2005-09-13","","",NA,53,3.39,NA,NA,NA,4.61,NA,NA,NA,NA
"245","EL5.5GC","2005-10-11","","",NA,1080,8.59,NA,NA,NA,34.7,NA,NA,NA,NA
"246","EL5.5GC","2005-11-08","","",NA,20,4.68,NA,NA,NA,2.12,NA,NA,NA,NA
"247","EL5.5GC","2005-12-06","","",NA,4500,11.87,NA,NA,NA,77.8,NA,NA,NA,NA
"248","EL5.5GC","2006-01-10","","",NA,54000,10.12,NA,NA,NA,16.6,NA,NA,NA,NA
"249","EL5.5GC","2006-02-07","","",NA,400,11.81,NA,NA,NA,17.5,NA,NA,NA,NA
"250","EL5.5GC","2006-03-14","","",NA,91,8.09,NA,NA,NA,8.56,NA,NA,NA,NA
"251","EL5.5GC","2006-04-04","","",NA,2000,4.45,NA,NA,NA,14.6,NA,NA,NA,NA
"252","EL5.5GC","2006-05-16","","",NA,5000,4.35,NA,NA,NA,37,NA,NA,NA,NA
"253","EL5.5GC","2006-06-13","","",NA,3200,6.09,NA,NA,NA,70.2,NA,NA,NA,NA
"254","EL5.5GC","2006-07-18","","",NA,720,4.87,NA,NA,NA,5.02,NA,NA,NA,NA
"255","EL5.5GC","2006-08-08","","",NA,60000,4.82,NA,NA,NA,143,NA,NA,NA,NA
"256","EL5.5GC","2006-09-12","","",NA,311,5.03,NA,NA,NA,7.07,NA,NA,NA,NA
"257","EL5.5GC","2006-10-10","","",NA,1000,5.66,NA,NA,NA,11.8,NA,NA,NA,NA
"258","EL5.5GC","2006-11-07","","",NA,166,5.01,NA,NA,NA,5.55,NA,NA,NA,NA
"259","EL5.5GC","2006-12-06","","",NA,3900,10.1,NA,NA,NA,111,NA,NA,NA,NA
"260","EL5.5GC","2007-01-09","","",NA,940,11.08,NA,NA,NA,39.3,NA,NA,NA,NA
"261","EL5.5GC","2007-02-06","","",NA,NA,12.49,NA,NA,NA,12.9,NA,NA,NA,NA
"262","EL5.5GC","2007-03-20","","",NA,2300,9.76,NA,NA,NA,12.6,NA,NA,NA,NA
"263","EL5.5GC","2007-05-15","","",NA,840,5.31,NA,NA,NA,19.7,NA,NA,NA,NA
"264","EL5.5GC","2007-06-26","","",NA,1160,2.66,NA,NA,NA,43.1,NA,NA,NA,NA
"265","EL5.5GC","2007-07-10","","",NA,212,6.84,NA,NA,NA,8.1,NA,NA,NA,NA
"266","EL5.5GC","2007-08-07","","",NA,280,3.08,NA,NA,NA,3.13,NA,NA,NA,NA
"267","EL5.5GC","2007-09-26","","",NA,430,5.03,NA,NA,NA,5.77,NA,NA,NA,NA
"268","EL5.5GC","2007-11-06","","",NA,115,4.71,NA,NA,NA,9.03,NA,NA,NA,NA
"269","EL5.5GC","2007-12-05","","",NA,380,0.86,NA,NA,NA,15,NA,NA,NA,NA
"270","EL5.5GC","2008-01-15","","",NA,10,9.88,NA,NA,NA,8.32,NA,NA,NA,NA
"271","EL5.5GC","2008-02-12","","",NA,27,11.21,NA,NA,NA,6.76,NA,NA,NA,NA
"272","EL5.5GC","2008-03-13","","",NA,19000,9.75,NA,NA,NA,14.5,NA,NA,NA,NA
"273","EL5.5GC","2008-04-08","","",NA,340,9.82,NA,NA,NA,19.3,NA,NA,NA,NA
"274","EL5.5GC","2008-05-06","","",NA,550,6.87,NA,NA,NA,9.81,NA,NA,NA,NA
"275","EL5.5GC","2008-06-10","","",NA,40,4.03,NA,NA,NA,7.44,NA,NA,NA,NA
"276","EL5.5GC","2008-07-17","","",NA,320,5.06,NA,NA,NA,19.2,NA,NA,NA,NA
"277","EL5.5GC","2008-08-12","","",NA,1272,4.23,NA,NA,NA,61.3,NA,NA,NA,NA
"278","EL5.5GC","2008-09-09","","",NA,1800,6.9,NA,NA,NA,39.6,NA,14,NA,NA
"279","EL5.5GC","2008-10-07","","",NA,275,6.54,NA,NA,NA,9,NA,NA,NA,NA
"280","EL5.5GC","2008-11-12","","",NA,54,5.34,NA,NA,NA,5.11,NA,NA,NA,NA
"281","EL5.5GC","2008-12-04","","",NA,225,11.95,NA,NA,NA,8.7,NA,NA,NA,NA
"282","EL5.5GC","2009-01-06","","",NA,6000,10.68,NA,NA,NA,276,NA,NA,NA,NA
"283","EL5.5GC","2009-02-10","","",NA,85,11.94,NA,NA,NA,13.2,NA,NA,NA,NA
"284","EL5.5GC","2009-03-17","","",NA,3800,11.45,NA,NA,NA,58.4,NA,NA,NA,NA
"285","EL5.5GC","2009-04-14","","",NA,1727,8.48,NA,NA,NA,8.51,NA,NA,NA,NA
"286","EL5.5GC","2009-05-12","","",NA,148,6.6,NA,NA,NA,9.47,NA,NA,NA,NA
"287","EL5.5GC","2009-06-10","","",NA,35000,8.11,NA,NA,NA,117,NA,NA,NA,NA
"288","EL5.5GC","2009-07-14","","",NA,60000,5.4,NA,NA,NA,32.5,NA,NA,NA,NA
"289","EL5.5GC","2009-08-11","","",NA,132,2.55,NA,NA,NA,5.64,NA,NA,NA,NA
"290","EL5.5GC","2009-09-15","","",NA,10,3.88,NA,NA,NA,5.93,NA,NA,NA,NA
"291","EL5.5GC","2009-10-13","","",NA,680,7.77,NA,NA,NA,7.3,NA,NA,NA,NA
"292","EL5.5GC","2009-11-10","","",NA,9,5.61,NA,NA,NA,6.95,NA,NA,NA,NA
"293","EL5.5GC","2009-12-01","","",NA,4600,9.88,NA,NA,NA,34.9,NA,NA,NA,NA
"294","EL5.5GC","2010-01-12","","10.47",137.87,81,13.9,0.2,2.5,1,11.3,NA,20,0.06,120
"295","EL5.5GC","2010-02-16","81","8.18",108.05,580,13.5,0.3,5,2,32,0.7,18,0.09,90
"296","EL5.5GC","2010-03-09","98","9.72",128.08,99,12.62,0.05,2.5,1,10.8,0.6,15,0.06,110
"297","EL5.5GC","2010-04-13","96","11.94",157.11,81,6.66,0.05,2.5,3,6.25,0.5,5,0.05,140
"298","EL5.5GC","2010-05-04","","",NA,NA,NA,0.09,0.8,1,NA,0.7,8.5,0.04,NA
"299","EL5.5GC","2010-06-15","","4.09",54.35,1455,5.95,0.2,5,3,27,NA,12,0.05,40
"300","EL5.5GC","2010-07-13","49","6.60",87.33,10000,4.67,0.05,2.5,6,11.3,0.4,5,0.04,70
"301","EL5.5GC","2010-08-10","58","4.09",54.35,200,2.58,0.2,2.5,2,10.6,0.5,5,0.09,40
"302","EL5.5GC","2010-09-14","94","3.20",42.59,27,6.3,0.1,2.5,1,5.58,0.3,18,0.35,30
"303","EL5.5GC","2010-10-12","81","4.95",65.66,727,7.59,0.2,2.5,1,5.4,0.3,77,0.47,50
"304","EL5.5GC","2010-11-09","96","6.20",82.01,81,9.51,0.05,2.5,2,10.8,0.5,14,0.09,65
"305","EL5.5GC","2010-12-07","89","7.40",97.79,180,11.54,0.05,2.5,5,10.1,0.6,11,0.08,80
"306","EL5.5GC","2011-01-19","92","13.38",175.93,164,12.67,0.4,2.5,1,12.4,0.7,13,0.06,160
"307","EL5.5GC","2011-02-16","99","10.09",132.99,27,13.11,0.1,2.5,1,7.74,0.3,5,0.05,115
"308","EL5.5GC","2011-03-16","73","7.40",97.79,1545,11.07,0.4,2.5,5,22.6,0.5,20,0.05,80
"309","EL5.5GC","2011-04-13","96","8.57",113.11,164,9.11,0.05,2.5,1,9.16,0.6,13,0.06,95
"310","EL5.5GC","2011-05-12","","7.40",97.79,1040,5.6,0.3,2.5,3,12.1,0.7,NA,0.02,80
"311","EL5.5GC","2011-06-08","","10.84",142.73,500,5.38,0.3,2.5,1,5.4,0.6,NA,0.05,125
"312","EL5.5GC","2011-07-13","85","7.40",97.79,213,5.53,0.2,5,1,16.4,0.3,11,0.08,80
"313","EL5.5GC","2011-08-17","","4.95",65.66,148,5.1,0.3,5.6,1,11.9,0.15,NA,0.4,50
"314","EL5.5GC","2011-09-14","92","6.20",82.01,180,5.92,0.1,5,1,9.79,0.4,15,0.07,65
"315","EL5.5GC","2011-10-12","","8.18",108.05,302,7.42,0.05,2.5,1,4.29,0.5,NA,0.04,90
"316","EL5.5GC","2011-11-10","","9.34",123.13,809,8.29,0.2,2.5,1,10.5,0.7,NA,0.09,105
"317","EL5.5GC","2011-12-07","","11.21",147.55,66,9.2,0.1,2.5,1,9.19,0.15,NA,0.06,130
"318","EL5.5GC","2013-01-15","97","8.96",118.14,195,8.93,0.1,3.2,1,10.3,0.43,14.3,0.06,100
"319","EL5.5GC","2013-02-12","81","10.09",132.99,230,10.8,0.3,4.5,1,13.8,0.53,8.3,0.1,115
"320","EL5.5GC","2013-03-12","57","10.47",137.87,5700,9.69,0.16,3.3,7.6,42.9,1.75,7.4,0.28,120
"321","EL5.5GC","2013-04-16","94","10.84",142.73,43,7.05,0.05,3.4,2.2,10.8,0.62,4.2,0.09,125
"322","EL5.5GC","2013-05-08","70","7.00",92.58,2700,9.18,0.27,5.6,2,39.6,0.56,6.2,0.12,75
"323","EL5.5GC","2013-06-11","65","6.20",82.01,1060,9.55,0.22,8.8,1,55.9,0.96,7.7,0.2,65
"324","EL5.5GC","2013-07-16","86","8.57",113.11,119,6.07,0.15,4.4,2.6,10.8,0.87,4.7,0.1,95
"325","EL5.5GC","2013-08-06","93","5.37",71.19,114,5.95,0.16,3.3,1,14.4,0.61,3.5,0.08,55
"326","EL5.5GC","2013-09-10","92","8.96",118.14,108,6.63,0.12,2.6,1,5.2,0.38,12.3,0.16,100
"327","EL5.5GC","2013-10-15","100","7.40",97.79,22,7.15,0.06,3.3,1,6.4,0.18,3,0.04,80
"328","EL5.5GC","2013-11-12","91","7.40",97.79,144,5.26,0,2.8,3.6,4.4,0.49,3.7,0.13,80
"329","EL5.5GC","2013-12-03","98","8.18",108.05,70,11.07,0.18,4.1,1,11.7,0.5,6.4,0.06,90
"330","EL5.5GC","2015-01-13","64","5.46",72.28,7000,11.98,0.6,6.6,2,43.3,0.7,19.5,0.11,56
"331","EL5.5GC","2015-02-10","57","2.83",37.73,3600,11.78,0.27,5,3.5,89.1,0.76,11.6,0.25,26
"332","EL5.5GC","2015-03-10","85","7.56",99.85,575,10.7,0.35,3.9,1,16.2,0.61,11.1,0.04,82
"333","EL5.5GC","2015-04-14","","9.72",128.08,1318.5,6.46,0.11,2.85,1,NA,0.51,4.9,0.06,110
"334","EL5.5GC","2015-05-12","82","8.88",117.14,640,5.28,0.27,4.2,2,5.84,0.59,16.4,0.05,99
"335","EL5.5GC","2015-06-09","32","4.18",55.5,60000,6.59,0.59,4,11,111,1.22,11.6,0.24,41
"336","EL5.5GC","2015-07-14","63","7.72",101.91,4000,6.34,0.31,2.4,2.2,63.3,0.78,12.8,0.13,84
"337","EL5.5GC","2015-08-11","71","5.54",73.37,3100,5.39,0.25,4.7,1,39.8,0.53,4.5,0.1,57
"338","EL5.5GC","2015-09-15","72","4.61",61.19,2050,5.44,0.14,4.3,1,9.18,0.25,12.1,0.09,46
"339","EL5.5GC","2015-10-13","85","6.92",91.54,453,6.55,0.19,3.6,1,6.19,0.56,6.5,0.06,74
"340","EL5.5GC","2015-11-10","64","3.47",46.18,6000,9.45,0.17,7.6,2,16.4,1,9.8,0.17,33
"341","EL5.5GC","2015-12-01","60","4.53",60.06,3450,10.76,0.14,5.6,1,59.8,1.16,8.4,0.11,45
"342","EL5.5GC","2017-01-19","97","10.69",140.79,188,10.04,0.18,3.5,1,13.5,0.37,12.4,0.05,123
"343","EL5.5GC","2017-02-14","96","8.34",110.08,104,10.64,0.06,3.4,1,18.9,0.38,9.2,0.08,92
"344","EL5.5GC","2017-03-14","61","3.56",47.36,5550,11.7,0.3,5,4,53,0.54,13.9,0.17,34
"345","EL5.5GC","2017-04-11","84","8.34",110.08,305,7.3,0.09,2.65,1,12.9,0.53,4.5,0.09,92
"346","EL5.5GC","2017-05-16","76","8.42",111.09,1200,7.6,0.18,5.3,1,31,0.79,8.4,0.16,93
"347","EL5.5GC","2017-06-13","86","9.03",119.14,660,6.8,0.41,3.1,1,8.4,0.25,7.9,0.03,101
"348","EL5.5GC","2017-07-11","78","6.36",84.14,818,5.4,0.23,4.5,1,12.9,0.28,19.2,0.09,67
"349","EL5.5GC","2017-08-15","77","4.61",61.19,440,5.8,0.15,5.7,1,33.6,0.47,8.2,0.12,46
"350","EL5.5GC","2017-09-12","67","5.12",67.88,18000,6.2,0.05,5.4,1,21,0.52,13,0.02,52
"351","EL5.5GC","2017-10-10","68","6.76",89.44,520,4.4,0.02,2.2,1,4.8,0.3,2.5,0.14,72
"352","EL5.5GC","2017-11-07","82","5.46",72.28,200,5.5,0.02,3,1,5.8,0.75,3.4,0.09,56
"353","EL5.5GC","2017-12-05","88","6.52",86.27,327,8.8,0.02,2.2,1,7.9,0.19,3,0.06,69
"354","EL5.5GC","2019-01-08","59","9.72",128.08,9000,8.2,0.23,2.9,4,12.6,2.02,11.9,0.18,110
"355","EL5.5GC","2019-02-05","66","10.17",133.97,2100,8.6,0.21,1.7,4,8.3,2.49,14.9,0.19,116
"356","EL5.5GC","2019-03-05","82","6.68",88.38,400,11.4,0.27,5.9,1,38.9,0.45,25.5,0.15,71
"357","EL5.5GC","2019-04-02","57","10.09",132.99,1182,0.4,0.03,3.3,2,10.4,0.4,16.05,0.05,115
"358","EL5.5GC","2019-05-07","85","6.20",82.01,396,5.9,0.19,4.3,1,17.8,0.28,29.4,0.08,65
"359","EL5.5GC","2019-06-05","50","6.52",86.27,1140,3.8,0.1,3.5,1,5.5,0.71,7.5,0.13,69
"360","EL5.5GC","2019-07-09","65","4.09",54.35,2300,5.2,0.36,4.6,1,24,0.65,16.8,0.14,40
"361","EL5.5GC","2019-08-06","34","3.47",46.18,53000,4.9,0.32,3.8,4.2,34.2,0.55,8.3,0.17,33
"362","EL5.5GC","2019-09-03","82","9.49",125.11,413,5.3,0.06,2.9,1,23.8,0.6,5.8,0.12,107
"363","EL5.5GC","2019-10-01","77","5.46",72.28,160,4.8,0.02,2.2,1,4.9,0.31,6.1,0.1,56
"364","EL5.5GC","2019-11-05","","5.94",78.58,287,7.5,0.02,4.2,1,13.5,NA,7.8,0.09,61.8
"365","EL5.5GC","2019-12-03","76","6.66",88.12,416.5,9.3,0.3,5.25,1,65.7,0.57,14.65,0.13,70.75
"366","EL5.5GC","2021-01-05","76","7.87",103.97,880,12.2,0.49,3.98,1,41.6,0.53,10.78,0.08,86
"367","EL5.5GC","2021-02-02","74","2.50",33.38,1013,11.9,0.4,3.76,1,37.6,0.38,14.4,0.13,22.5
"368","EL5.5GC","2021-03-02","74","2.79",37.12,587.5,10.4,0.23,3.8,1,44.3,0.78,11.61,0.14,25.5
"369","EL5.5GC","2021-04-06","97","3.92",52.04,100,8.6,0.1,2.17,1,11.8,0.53,3.28,0,38
"370","EL5.5GC","2021-05-04","37","3.20",42.59,3100,3.7,0.15,2.92,8.6,25,0.64,7.73,0.25,30
"371","EL5.5GC","2021-06-01","82","2.36",31.49,135,5.3,0.25,3.34,2.8,16.4,0.58,9.27,0.12,21
"372","EL5.5GC","2021-07-06","68","7.72",101.91,2500,6.8,0.37,4.28,1,44,0.7,10.9,0.24,84
"373","EL5.5GC","2021-08-03","78","10.25",135.05,565,5.6,0.07,2.62,1,6.9,0.98,6.35,0.21,117.1
"374","EL5.5GC","2021-09-07","83","8.11",107.03,370,5.9,0.02,3,1,8.4,0.42,5.7,0.45,89
"375","EL5.5GC","2021-10-12","","6.12",80.94,1270,5.7,0.64,5.8,2.6,15.7,0.65,NA,0.54,64
"376","EL5.5GC","2021-11-02","82","6.68",88.38,616.5,6.8,0.24,2.82,1,10.2,0.52,5,0.37,71
"377","EL5.5GC","2021-12-07","93","8.57",113.11,29.8,5.6,0.17,2.35,1,5.2,0.45,4.9,0.27,95
"378","EL5.6EC","2004-01-20","","",NA,220,11.55,NA,NA,NA,28.2,NA,NA,NA,NA
"379","EL5.6EC","2004-02-10","","",NA,370,13.93,NA,NA,NA,NA,0.25,NA,0.03,NA
"380","EL5.6EC","2004-03-16","","",NA,6000,10.86,NA,NA,NA,88,NA,NA,NA,NA
"381","EL5.6EC","2004-04-27","","",NA,6000,7.69,NA,NA,NA,27.3,NA,NA,NA,NA
"382","EL5.6EC","2004-05-25","","",NA,940,6.58,NA,NA,NA,33.8,NA,NA,NA,NA
"383","EL5.6EC","2004-06-15","","",NA,290,5.93,NA,NA,NA,7.82,NA,NA,NA,NA
"384","EL5.6EC","2004-07-13","","",NA,60000,5.1,NA,NA,NA,92,NA,NA,NA,NA
"385","EL5.6EC","2004-08-17","","",NA,277,7.24,NA,NA,NA,21.3,NA,NA,NA,NA
"386","EL5.6EC","2004-09-14","","",NA,220,8.2,NA,NA,NA,11.9,NA,NA,NA,NA
"387","EL5.6EC","2004-10-12","","",NA,150,7.09,NA,NA,NA,6.5,NA,NA,NA,NA
"388","EL5.6EC","2004-11-09","","",NA,82,7.81,NA,NA,NA,8.14,NA,NA,NA,NA
"389","EL5.6EC","2004-12-07","","",NA,3200,11.16,NA,NA,NA,33,NA,NA,NA,NA
"390","EL5.6EC","2005-01-10","","",NA,98,13.16,NA,NA,NA,9.09,NA,NA,NA,NA
"391","EL5.6EC","2005-02-22","86","8.18",108.05,360,9.34,0.4,2.5,3,9.97,0.25,5,0.05,90
"392","EL5.6EC","2005-03-08","54","4.95",65.66,5200,10.32,0.4,5.3,7,140,0.5,10,0.03,50
"393","EL5.6EC","2005-04-12","88","7.40",97.79,213,8.63,0.3,5,1,18.8,0.25,5,0.05,80
"394","EL5.6EC","2005-05-17","69","8.18",108.05,620,4.44,0.4,2.5,3,6.75,0.25,5,0.05,90
"395","EL5.6EC","2005-06-14","85","7.40",97.79,700,8.19,0.3,2.5,1,12.9,0.25,5,0.1,80
"396","EL5.6EC","2005-07-12","85","6.60",87.33,280,6.03,0.2,2.5,1,13.7,0.25,5,0.07,70
"397","EL5.6EC","2005-08-16","","4.95",65.66,540,6.63,0.2,2.5,1,9.5,0.25,5,NA,50
"398","EL5.6EC","2005-09-13","98","9.72",128.08,11,6.7,0.05,2.5,1,3.39,0.25,5,0.03,110
"399","EL5.6EC","2005-10-11","78","4.95",65.66,1273,7.69,0.3,5,1,14.6,0.25,5,0.08,50
"400","EL5.6EC","2005-11-08","99","11.21",147.55,53,7.81,0.05,2.5,1,4.06,0.25,5,0.05,130
"401","EL5.6EC","2005-12-06","67","3.20",42.59,2600,10.99,0.7,2.5,2,50.2,0.25,5,0.19,30
"402","EL5.6EC","2006-01-10","100","6.60",87.33,36,12.44,0.3,5.2,1,11.8,0.25,12,0.03,70
"403","EL5.6EC","2006-02-07","79","6.60",87.33,4100,10.98,0.5,2.5,2,19.9,0.25,5,0.03,70
"404","EL5.6EC","2006-03-14","100","7.40",97.79,74,8.16,0.05,2.5,1,5.25,0.25,20,0.03,80
"405","EL5.6EC","2006-04-04","66","7.40",97.79,1727,4.78,0.2,5,4,16.6,0.25,5,0.03,80
"406","EL5.6EC","2006-05-16","80","6.60",87.33,920,8.28,0.2,6.2,1,21.6,0.5,5,0.06,70
"407","EL5.6EC","2006-06-13","80","5.79",76.63,980,6.41,0.3,2.5,1,26.1,0.25,5,0.07,60
"408","EL5.6EC","2006-07-18","86","6.60",87.33,279,6.03,0.05,5.2,1,11,0.25,5,0.05,70
"409","EL5.6EC","2006-08-08","86","8.96",118.14,246,5.31,0.1,2.5,2,16.9,0.25,5,0.06,100
"410","EL5.6EC","2006-09-12","87","5.79",76.63,180,6.21,0.05,7.3,2,17.9,0.5,5,0.09,60
"411","EL5.6EC","2006-10-10","85","5.79",76.63,246,6.46,0.2,2.5,2,11.9,0.25,5,0.08,60
"412","EL5.6EC","2006-11-07","97","8.18",108.05,45,8.11,0.05,2.5,3,8.72,0.25,5,0.07,90
"413","EL5.6EC","2006-12-06","96","6.60",87.33,33,9.41,0.05,2.5,1,11.1,0.25,5,0.1,70
"414","EL5.6EC","2007-01-09","","5.79",76.63,407,11.35,0.3,2.5,1,32.8,0.5,NA,0.11,60
"415","EL5.6EC","2007-02-06","","",NA,NA,14.04,NA,NA,NA,12,NA,NA,NA,NA
"416","EL5.6EC","2007-03-20","87","7.40",97.79,311,10.61,0.4,2.5,1,22.2,0.25,5,0.06,80
"417","EL5.6EC","2007-05-15","","5.79",76.63,420,7.45,0.3,2.5,2,26.8,0.6,NA,0.05,60
"418","EL5.6EC","2007-06-26","61","4.95",65.66,800,4.8,0.05,5,1,14.4,0.25,13,0.07,50
"419","EL5.6EC","2007-07-10","","8.18",108.05,56,4.33,0.05,2.5,1,3.86,0.5,NA,0.05,90
"420","EL5.6EC","2007-08-07","95","8.18",108.05,130,5.67,0.05,2.5,1,12.5,0.25,5,0.06,90
"421","EL5.6EC","2007-09-26","70","8.96",118.14,560,4.43,0.05,2.5,4,19.1,0.25,5,0.06,100
"422","EL5.6EC","2007-10-16","99","7.40",97.79,48,7.36,0.05,2.5,1,5.35,0.25,5,0.05,80
"423","EL5.6EC","2007-11-06","","8.96",118.14,66,7.61,0.05,2.5,1,8.25,0.25,NA,0.08,100
"424","EL5.6EC","2007-12-05","98","8.96",118.14,20,7.48,0.05,2.5,2,8,0.25,5,0.08,100
"425","EL5.6EC","2008-01-15","","9.72",128.08,115,10.9,0.05,2.5,2,10.4,0.25,NA,0.05,110
"426","EL5.6EC","2008-02-12","99","8.96",118.14,27,10.29,0.05,2.5,2,13.4,0.25,16,0.05,100
"427","EL5.6EC","2008-03-13","","7.40",97.79,146,10.32,0.3,7.1,1,13.2,0.25,NA,0.05,80
"428","EL5.6EC","2008-04-08","","7.40",97.79,510,8.54,0.4,12,1,15.8,0.5,NA,0.05,80
"429","EL5.6EC","2008-05-06","","8.96",118.14,126,5.94,0.05,2.5,3,19.5,0.7,NA,0.05,100
"430","EL5.6EC","2008-06-10","95","8.96",118.14,90,5.23,0.05,2.5,3,5.5,0.6,5,0.06,100
"431","EL5.6EC","2008-07-17","75","5.79",76.63,909,5.63,0.1,5.3,2,9.56,0.6,5,0.13,60
"432","EL5.6EC","2008-08-12","70","4.95",65.66,960,5.52,0.3,5,1,6.2,0.6,5,0.12,50
"433","EL5.6EC","2008-09-09","","4.95",65.66,1364,7.12,0.2,6,1,17.5,0.6,NA,0.09,50
"434","EL5.6EC","2008-10-07","96","8.18",108.05,72,7.38,0.1,2.5,1,16.6,0.15,5,0.09,90
"435","EL5.6EC","2008-11-12","97","8.96",118.14,9,7.14,0.05,2.5,4,9.06,0.15,10,0.08,100
"436","EL5.6EC","2008-12-04","85","5.79",76.63,260,11.95,0.1,2.5,1,8.7,0.15,5,0.09,60
"437","EL5.6EC","2009-01-06","52","2.26",30.21,2000,10.88,0.2,2.5,5,140,0.9,10,0.09,20
"438","EL5.6EC","2009-02-10","","10.47",137.87,9,12.47,0.05,2.5,2,NA,0.4,5,0.07,120
"439","EL5.6EC","2009-03-17","74","4.09",54.35,1000,11.07,0.4,5.2,2,40.9,0.02,15,0.09,40
"440","EL5.6EC","2009-04-14","97","8.96",118.14,66,9.01,0.05,2.5,1,7.35,0.6,10,0.07,100
"441","EL5.6EC","2009-05-12","86","6.60",87.33,560,8.03,0.2,2.5,2,11.5,0.6,5,0.08,70
"442","EL5.6EC","2009-06-10","57","4.09",54.35,15000,7.72,0.3,5.5,4,106,0.15,5,0.05,40
"443","EL5.6EC","2009-07-14","64","5.79",76.63,20000,6.65,0.2,2.5,3,18.3,0.3,5,0.05,60
"444","EL5.6EC","2009-08-11","71","4.95",65.66,230,4.79,0.05,2.5,2,7.31,0.15,5,0.05,50
"445","EL5.6EC","2009-09-15","98","5.79",76.63,27,6.52,0.05,2.5,1,6.55,0.4,5,0.03,60
"446","EL5.6EC","2009-10-13","64","5.79",76.63,23000,8.49,0.2,5.1,3,20.7,0.15,5,0.05,60
"447","EL5.6EC","2009-11-10","100","8.96",118.14,27,8.8,0.05,2.5,1,7.47,0.4,12,0.03,100
"448","EL5.6EC","2009-12-01","","5.79",76.63,1455,10.33,0.2,5.5,3,20.6,0.4,NA,0.03,60
"449","EL5.6EC","2010-01-12","","8.18",108.05,9,13.15,0.3,2.5,1,11.1,NA,40,0.05,90
"450","EL5.6EC","2010-02-16","71","7.40",97.79,580,13.06,0.3,5.8,1,226,0.6,18,0.07,80
"451","EL5.6EC","2010-03-09","77","9.72",128.08,1364,10.55,0.05,2.5,2,7.37,1.3,25,0.05,110
"452","EL5.6EC","2010-04-13","91","6.60",87.33,117,6.99,0.05,2.5,2,6.63,0.6,5,0.09,70
"453","EL5.6EC","2010-05-04","","",NA,NA,NA,0.05,0.8,2.8,NA,3.1,5,0.1,NA
"454","EL5.6EC","2010-06-15","","4.95",65.66,2900,6.69,0.1,2.5,2,20.4,NA,10,0.02,50
"455","EL5.6EC","2010-07-13","55","4.09",54.35,44000,6.23,0.2,5,4,23.5,1,10,0.04,40
"456","EL5.6EC","2010-08-10","64","7.40",97.79,280,4.86,0.05,2.5,2,10.3,0.8,5,0.09,80
"457","EL5.6EC","2010-09-14","94","8.18",108.05,118,6.04,0.05,2.5,2,5.23,0.6,5,0.05,90
"458","EL5.6EC","2010-10-12","97","7.40",97.79,117,7.5,0.05,2.5,2,7.88,0.4,5,0.06,80
"459","EL5.6EC","2010-11-09","99","5.79",76.63,14,9.69,0.1,2.5,2,9.45,0.3,5,0.06,60
"460","EL5.6EC","2010-12-07","87","7.00",92.58,260,12.02,0.05,2.5,4,11.9,0.5,14,0.05,75
